1,2,1
1,3,1.4142135623731
2,3,1
2,4,1.4142135623731
2,7,1.4142135623731
2,9,1.4142135623731
3,4,1
3,5,1.4142135623731
4,5,1
4,6,1.4142135623731
4,9,1.4142135623731
4,11,1.4142135623731
5,6,1
6,11,1.4142135623731
7,8,1
7,9,1.4142135623731
8,9,1
8,10,1.4142135623731
8,13,1.4142135623731
8,15,1.4142135623731
9,10,1
9,11,1.4142135623731
10,11,1
10,12,1.4142135623731
10,15,1.4142135623731
10,17,1.4142135623731
11,12,1
12,17,1.4142135623731
13,14,1
13,15,1.4142135623731
14,15,1
14,16,1.4142135623731
15,16,1
15,17,1.4142135623731
16,17,1
16,18,1.4142135623731
17,18,1
