1,2,1
1,5,1.4142135623731
1,6,1
2,6,1.4142135623731
3,4,1
3,6,1
3,7,1.4142135623731
3,8,1
4,8,1.4142135623731
4,17,1
5,6,1
5,9,1.4142135623731
5,10,1
6,10,1.4142135623731
7,8,1
7,10,1
7,11,1.4142135623731
7,12,1
8,12,1.4142135623731
8,21,1
9,10,1
9,13,1.4142135623731
9,14,1
10,14,1.4142135623731
11,12,1
11,14,1
11,15,1.4142135623731
11,16,1
12,16,1.4142135623731
12,25,1
13,14,1
15,16,1
16,29,1
17,18,1
17,21,1.4142135623731
17,22,1
18,22,1.4142135623731
19,20,1
19,22,1
19,23,1.4142135623731
19,24,1
20,24,1.4142135623731
21,22,1
21,25,1.4142135623731
21,26,1
22,26,1.4142135623731
23,24,1
23,26,1
23,27,1.4142135623731
23,28,1
24,28,1.4142135623731
25,26,1
25,29,1.4142135623731
25,30,1
26,30,1.4142135623731
27,28,1
27,30,1
27,31,1.4142135623731
27,32,1
28,32,1.4142135623731
29,30,1
31,32,1
